id	family	kind	rel_path	route	target	mode	status	reason	source_patch	effective_patch	dest_path
32	d3dx9-setrawvalue	tkg-patches	d3dx9-setrawvalue/0001-d3dx9-Add-support-for-setting-vec-2-3-effect-paramet.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9-setrawvalue/0001-d3dx9-Add-support-for-setting-vec-2-3-effect-paramet.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9-setrawvalue/0001-d3dx9-Add-support-for-setting-vec-2-3-effect-paramet.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0032-0001-d3dx9-Add-support-for-setting-vec-2-3-effect-paramet.patch
33	d3dx9-setrawvalue	tkg-patches	d3dx9-setrawvalue/0002-d3dx9-Add-partial-support-for-setting-D3DXPC_STRUCT-.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9-setrawvalue/0002-d3dx9-Add-partial-support-for-setting-D3DXPC_STRUCT-.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9-setrawvalue/0002-d3dx9-Add-partial-support-for-setting-D3DXPC_STRUCT-.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0033-0002-d3dx9-Add-partial-support-for-setting-D3DXPC_STRUCT-.patch
35	d3dx9_36-D3DXStubs	tkg-patches	d3dx9_36-D3DXStubs/0003-d3dx9-Implement-D3DXComputeTangent.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9_36-D3DXStubs/0003-d3dx9-Implement-D3DXComputeTangent.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/d3dx9_36-D3DXStubs/0003-d3dx9-Implement-D3DXComputeTangent.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0035-0003-d3dx9-Implement-D3DXComputeTangent.patch
52	dmscript_enum_routine	tkg-patches	dmscript_enum_routine/0001-dmscript-IDirectMusicScript-EnumRoutine-return-S_FAL.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dmscript_enum_routine/0001-dmscript-IDirectMusicScript-EnumRoutine-return-S_FAL.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/dmscript_enum_routine/0001-dmscript-IDirectMusicScript-EnumRoutine-return-S_FAL.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0052-0001-dmscript-IDirectMusicScript-EnumRoutine-return-S_FAL.patch
282	kernel32-Debugger	tkg-patches	kernel32-Debugger/0001-kernel32-Always-start-debugger-on-WinSta0.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/kernel32-Debugger/0001-kernel32-Always-start-debugger-on-WinSta0.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/kernel32-Debugger/0001-kernel32-Always-start-debugger-on-WinSta0.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0282-0001-kernel32-Always-start-debugger-on-WinSta0.patch
284	krnl386.exe16-GDT_LDT_Emulation	tkg-patches	krnl386.exe16-GDT_LDT_Emulation/0001-krnl386.exe16-Emulate-GDT-and-LDT-access.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/krnl386.exe16-GDT_LDT_Emulation/0001-krnl386.exe16-Emulate-GDT-and-LDT-access.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/krnl386.exe16-GDT_LDT_Emulation/0001-krnl386.exe16-Emulate-GDT-and-LDT-access.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0284-0001-krnl386.exe16-Emulate-GDT-and-LDT-access.patch
288	mf_http_support	tkg-patches	mf_http_support/0002-mf-tests-Add-network-bytestream-tests.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/mf_http_support/0002-mf-tests-Add-network-bytestream-tests.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/mf_http_support/0002-mf-tests-Add-network-bytestream-tests.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0288-0002-mf-tests-Add-network-bytestream-tests.patch
300	msxml3-FreeThreadedXMLHTTP60	tkg-patches	msxml3-FreeThreadedXMLHTTP60/0001-include-Remove-interfaces-already-define-in-msxml6.i.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/msxml3-FreeThreadedXMLHTTP60/0001-include-Remove-interfaces-already-define-in-msxml6.i.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/msxml3-FreeThreadedXMLHTTP60/0001-include-Remove-interfaces-already-define-in-msxml6.i.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0300-0001-include-Remove-interfaces-already-define-in-msxml6.i.patch
308	msxml3-write_out_doc	tkg-patches	msxml3-write_out_doc/0001-msxml3-Write-to-DOMDocument-mxwriter-destination-in-.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/msxml3-write_out_doc/0001-msxml3-Write-to-DOMDocument-mxwriter-destination-in-.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/patch-overrides/wave6-selective-rebase/308.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0308-0001-msxml3-Write-to-DOMDocument-mxwriter-destination-in-.patch-override
329	ntdll-ext4-case-folder	tkg-patches	ntdll-ext4-case-folder/0002-ntdll-server-Mark-drive_c-as-case-insensitive-when-c.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/ntdll-ext4-case-folder/0002-ntdll-server-Mark-drive_c-as-case-insensitive-when-c.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/ntdll-ext4-case-folder/0002-ntdll-server-Mark-drive_c-as-case-insensitive-when-c.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0329-0002-ntdll-server-Mark-drive_c-as-case-insensitive-when-c.patch
355	odbc32-fixes	tkg-patches	odbc32-fixes/0005-odbc32-SQLGetData-support-ODBC-v2.0.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/odbc32-fixes/0005-odbc32-SQLGetData-support-ODBC-v2.0.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/odbc32-fixes/0005-odbc32-SQLGetData-support-ODBC-v2.0.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0355-0005-odbc32-SQLGetData-support-ODBC-v2.0.patch
368	odbc32-fixes	tkg-patches	odbc32-fixes/0022-odbc32-SQLBindCol-remap-unicode-field-when-using-ANS.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/odbc32-fixes/0022-odbc32-SQLBindCol-remap-unicode-field-when-using-ANS.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/odbc32-fixes/0022-odbc32-SQLBindCol-remap-unicode-field-when-using-ANS.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0368-0022-odbc32-SQLBindCol-remap-unicode-field-when-using-ANS.patch
378	server-File_Permissions	tkg-patches	server-File_Permissions/0004-advapi32-tests-Add-tests-for-ACL-inheritance-in-Crea.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/server-File_Permissions/0004-advapi32-tests-Add-tests-for-ACL-inheritance-in-Crea.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/server-File_Permissions/0004-advapi32-tests-Add-tests-for-ACL-inheritance-in-Crea.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0378-0004-advapi32-tests-Add-tests-for-ACL-inheritance-in-Crea.patch
379	server-File_Permissions	tkg-patches	server-File_Permissions/0005-advapi32-tests-Add-ACL-inheritance-tests-for-creatin.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/server-File_Permissions/0005-advapi32-tests-Add-ACL-inheritance-tests-for-creatin.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/server-File_Permissions/0005-advapi32-tests-Add-ACL-inheritance-tests-for-creatin.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0379-0005-advapi32-tests-Add-ACL-inheritance-tests-for-creatin.patch
385	server-Stored_ACLs	tkg-patches	server-Stored_ACLs/0003-server-Add-a-helper-function-set_sd_from_token_inter.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/server-Stored_ACLs/0003-server-Add-a-helper-function-set_sd_from_token_inter.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/server-Stored_ACLs/0003-server-Add-a-helper-function-set_sd_from_token_inter.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/0385-0003-server-Add-a-helper-function-set_sd_from_token_inter.patch
1401	user32-message-order	tkg-patches	user32-message-order/0001-user32-Fix-messages-sent-on-a-window-without-WS_CHIL.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-message-order/0001-user32-Fix-messages-sent-on-a-window-without-WS_CHIL.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-message-order/0001-user32-Fix-messages-sent-on-a-window-without-WS_CHIL.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1401-0001-user32-Fix-messages-sent-on-a-window-without-WS_CHIL.patch
1408	user32-rawinput-mouse	tkg-patches	user32-rawinput-mouse/0001-server-Add-support-for-absolute-rawinput-mouse-messa.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	ready	proven	ok	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0001-server-Add-support-for-absolute-rawinput-mouse-messa.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0001-server-Add-support-for-absolute-rawinput-mouse-messa.patch	/home/mikhail/winlator-wine-proton-arm64ec-wcp/ci/wine11-arm64ec/tkg-ge-wave6-selective-rebase-lane/patches/wine/tkg-patches/1408-0001-server-Add-support-for-absolute-rawinput-mouse-messa.patch
